v0,pitch,rot_speed,OoPDefl,IPDefl,TTDspFA,TTDspSS
3,0.0,0.35782076545446434,0.19643379029160485,-0.4604329567775967,-0.010291080031832179,-0.00006502950458184605
5,0.0,2.682112728634416,0.5524292524216986,0.02958737560592564,0.019735214144447486,-0.0008217543516413569
7,0.0,8.348961933826176,2.546928060455759,-0.2735695323235831,0.15158800565079544,-0.016898944709775657
9,0.0,9.98749247783219,3.7009700654388236,-0.342301710937618,0.2466789829821429,-0.029559341113589502
11,0.0,11.80745859512549,5.091049197306256,-0.5215130259631792,0.3629354787932035,-0.044327328956472206
13,5.447132529035913,12.099330010270405,3.8052128927461664,-0.7168321050840252,0.29970060583130453,-0.05358308145832421
15,9.650115870862543,12.10003560694511,2.670181720068301,-0.6796792558251915,0.24642658309026685,-0.05595670399192424
17,12.906780040061996,12.09994805395018,1.8929064485311753,-0.5830256978671651,0.21679745910833165,-0.05851246535890702
19,15.647801275580271,12.099976024928866,1.3560139986214554,-0.48074027551102194,0.20198680548338047,-0.06126923707907188
21,18.20574058654733,12.10006396108789,0.9866172878983009,-0.39247327770762935,0.19274834092153,-0.06343729237846704
23,20.59765873581876,12.10005696834322,0.6534691452101146,-0.28220826440136937,0.18716964886287252,-0.06568053376918527
25,22.865462423507037,12.099862799939794,0.3616868579992622,-0.15713976300801624,0.1851803925479163,-0.06841107285405244
